Name,BaseClass,Level 1,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14,Level 15,Primary Stat,Secondary Stat,Skill Talents
Ace Trainer,,Improved Attacks,Affirmation,Intimidate,Stat Increase and Advanced Class,Constructive Criticism,Press,Pokemon Master,Stat Increase and Advanced Class,Taskmaster,Battle Frenzy,Break Through,Stat Increase and Advanced Class,Press On,Battle Experience,Finish It,Grand Master,Attack,Special Attack,"Choose 2: Acrobatics, Athletics, Concentration, Diplomacy/Persuasion, History, Pokémon Handling"
Stat Ace,Ace Trainer,Favored Stat,Specialist Training,Favorable Recruitment,Stat Press,Affliction Resistance,,Field Tactics,Attitude Adjustment,Honed Skill,,Desperate Measures,Stat Affirmation,Stat Tactics,Superior Aura,,,Attack,Special Attack,"Choose 1: Insight, Nature"
Strategist,Ace Trainer,Field Scout,Terrain Mastery,Quick Set,Adaptive Boost,Healthy Priorities,,Hazardous Intent,Move Recognition,Terrain Shift,,Weather Vortex,Malicious Priorities,Slight of Pokémon,Brute Strategy,,,Attack,Special Attack,"Choose 1: Investigate, Perception"
Tag Battler,Ace Trainer,Sync Move,Team Spirit,Brace Allies,Helping Out,With Them,,Combination Tactics,Entwining Beam,Impossible Combination,,All Together Now,Dual Wielding,Friendly Fireproof,One Heart,,,Attack,Special Attack,"Choose 1; Concentration, Diplomacy/Persuasion"
Type Ace,Ace Trainer,Favored Type,Improved Type Attacks,Type Resistance,Elemental Metamorphosis,Elemental Grit,,Type Immunity,Type Loyalty,Resistance Piercing,,Bread and Butter,Move Molding,Type Embrace,Elemental Surge,,,Attack,Special Attack,"Choose 1: Nature, Perform"
Underdog,Ace Trainer,Eversoul,Hidden Strength,The Bigger They Are,Versatile Technique,Passive Improvement,,Champ in the Making,Young Luck,Perfect as Is,,Underdog Tactics,Superior Defiance,Rising Up,Underdog Comeback,,,Attack,Special Attack,"Choose 1: Bluff/Deception, Constitution"
Breeder,,Hatcher,Natural Edge,Philoprogenitive,Stat Increase and Advanced Class,Egg Finder,Unexpected Hatch,Natural Breeder,Stat Increase and Advanced Class,Parental Hyperlexia,Inherited Moves,Scrambled Moves,Stat Increase and Advanced Class,Unlikely Pairings,Familial Bond,Gleaming Eggs,Matchmaker,Defense,Special Defense,"Choose 2: Constitution, Diplomacy/Persuasion, History, Medicine, Nature, Pokémon Handling"
Botanist,Breeder,Berry Mixer,Botanical Encyclopedia,Berry Finder,Berry Booster,Growth Spurt,,Berry Combination,Apricorn Finder,Hybridization,,Berry Seeker,Miniature Specimen,Rare Berry Seeker,Berry Monstrosities,,,Defense,Special Defense,"Choose 1: Medicine, Nature"
Chef,Breeder,Energy Shot,Soul Food,Wild Bait,Sugar Rush,Pâtissier,,Herbal Medicine,Vile Cook,Palette Pleaser,,Power Recovery,Powerful Herbs,Leftovers,Master Chef,,,Defense,Special Defense,"Choose 1: Perform, Sleight of Hand"
Evolver,Breeder,Early Evolution,Mega Stone Smith,Elemental Evolution,Evolution Guidance,Keystone Burst,,Mega Stone Shift,Key Stone Stretch,Peak Form,,Keystone Overflow,Potential Break,Evolution Shift,Keystone Kaleidoscope,,,Defense,Special Defense,"Choose 1: Constitution, Pokémon Handling"
Medic,Breeder,Muscle Relaxants,Treat Minor Wound,Medicinal Expert,Better Living Through Medicine,Treat Wound,,Pain Killers,Shock Therapy,Restore Strength,,Treat Major Wound,Do No Harm,Treat Serious Wound,Won’t Die on Me,,,Defense,Special Defense,"Choose 1: Medicine, Sleight of Hand"
Move Tutor,Breeder,Natural Tutoring,Observation Training,Passive Tutoring,Rudimentary Tutoring,Machine Mentor,,Vocation Tutoring,Field Tutoring,Destructive Tutoring,,Class Time,Photographic Tutoring,Passive Mastery,Tutor Mastery,,,Defense,Special Defense,"Choose 1: Diplomacy/Persuasion, Pokémon Handling"
Coordinator,,Put Your Hands in the Air,Wonderous Applause,Favorite Festival,Stat Increase and Advanced Class,Shining Light,Appearance,All Eyes on Us,Stat Increase and Advanced Class,Character Building,Form Fit,It’s How You Carry Yourself,Stat Increase and Advanced Class,"Poise, Serenity, Style",Breathtaking Flourish,Contest Tutoring,Command of the Stage,Special Defense,Speed,"Choose 2: Acrobatics, Athletics, Bluff/Deception, Diplomacy/Persuasion, Perform, Sleight of Hand"
Choreographer,Coordinator,Base Routine,Practicing Scales,En Point,Attention to Me,Gradual Rise,,Stage Presence,Gentle Footfall,Enthralling Voices,,Dancing Dodge,As Rehearsed,Elemental Flourish,Dazzling the Stage,,,Special Defense,Speed,"Choose 1: Acrobatics, Perform"
Coach,Coordinator,Faster,Stronger,Work It,Harder,Makes Us Stronger,,Surf It,Make It Better,Hour After Hour,,Bring It,Never Over,Face to Face,More Than Ever,,,Special Defense,Speed,"Choose 1: Athletics, Pokémon Handling"
Designer,Coordinator,Accessorize,Practical Designer,Lucky Charm,Bright Charm,Tactical Design,,The Look,Glamourous,Cosplay Designer,,Flawless Accessory,Item Builder,Item Manufacturer,Endless Versatility,,,Special Defense,Speed,"Choose 1: Engineering/Operation, Sleight of Hand"
Groomer,Coordinator,Expert Grooming,Pokémon Whisperer,Touch Up,Groomer's Eye,Contest Coating,,Quick Cleanse,Attribution Assistance,Glossy Alteration,,Groundbreaking Makeover,Head Turner,Secured Style,Elite Glamour,,,Special Defense,Speed,"Choose 1: Nature, Pokémon Handling"
Rising Star,Coordinator,Incognito,Influencer,Golden Cheer,Autographs and Selfies,Garnered Loyalty,,Seat of Celebrity,Stirring Speech,On the List,,Platinum Cheer,Disheartening Blow,Empowering Aid,Preposterous Wealth,,,Special Defense,Speed,"Choose 1: Bluff/Deception, Diplomacy/Persuasion"
Ranger,,Authority Figure,Befriend,Companion,Stat Increase and Advanced Class,Dizzy,Part of the Team,Safe Passage,Stat Increase and Advanced Class,Ward,Herder,Aid of the Wild,Stat Increase and Advanced Class,Styler Slinger,Natural Leader,Wild Commander,Commander’s Rally,Defense,Speed,"Choose 2: Acrobatics, Athletics, Diplomacy/Persuasion, Perception, Pokémon Handling, Stealth"
